model_name,spaces_count,spaces
trpakov/vit-face-expression,16,"Nuno-Tome/simple_image_classifier|eusholli/computer-vision-playground|aieye/emotion_classifier_tutorial|NoorIlyas/face-expression|prabhu98/trpakov-vit-face-expression|LalithThomala/Faceswap|xtlyxt/facefeature|xtlyxt/face-exp|Hasti11/MultiModal-Mental-Health-Therapist|xtlyxt/facefeaturefast|xtlyxt/facebasic|mprateek/EmotionDetection|Dannel/gender|shadownada/uff|MuhammmadRizwanRizwan/trpakov-vit-face-expression|khupaar/trpakov-vit-face-expression"
timm/tf_mobilenetv3_large_minimal_100.in1k,0,""
rizvandwiki/gender-classification,11,"Nuno-Tome/simple_image_classifier|Paresh/Facial-feature-detector|abdallahalsamman/testing|ahmedemara10/rizvandwiki-gender-classification|mrvero/rizvandwiki-gender-classification|snehalsapkale/demo-image-classification|Dannel/gender|shadownada/uff|justingrammens/mmm-faces|itsTomLie/Gender_Classification|tinypotato/rizvandwiki-gender-classification"
amunchet/rorshark-vit-base,0,""
timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,0,""
timm/efficientnet_b0.ra_in1k,0,""
timm/mobilenetv3_large_100.ra_in1k,4,"Nuno-Tome/simple_image_classifier|SandraCLV/timm-mobilenetv3_large_100.ra_in1k|Dannel/gender|shadownada/uff"
timm/vit_base_patch16_384.augreg_in21k_ft_in1k,0,""
timm/tf_mobilenetv3_small_minimal_100.in1k,0,""
apple/mobilevit-small,4,"juliensimon/battle_of_image_classifiers|TotoB12/apple-mobilevit-small|SivaResearch/Opensource_imageClassifer_combo|DevBM/image-classification"
